day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2013-11-08T00:00:00.000-05,AAPL,13.4207,14.8783,589898119.5,70.2069
2013-11-09T00:00:00.000-05,AAPL,10.44,10.122,19008916.2,63.74
2013-11-10T00:00:00.000-05,AAPL,44.1636,44.2545,227056008.2,77.0909
2013-11-11T00:00:00.000-05,AAPL,12.5719,12.6094,13989253.06,80.6469
2013-11-12T00:00:00.000-05,AAPL,-0.8383,-1.7455,82951539.85,72.4489
2013-11-13T00:00:00.000-05,AAPL,13.1283,12.9674,129404010.6,68.3522
2013-11-14T00:00:00.000-05,AAPL,24.1971,19.7609,114459637.8,78.7429
2013-11-15T00:00:00.000-05,AAPL,5.0588,4.4571,64183197.24,76.9588
2013-11-16T00:00:00.000-05,AAPL,0.4091,0.4545,42683861.55,83.2455
2013-11-17T00:00:00.000-05,AAPL,-3.6786,-3.6786,85785389.71,62.5286
2013-11-18T00:00:00.000-05,AAPL,-2.7884,-2.5618,665866170.5,61.1832
2013-11-19T00:00:00.000-05,AAPL,-4.8318,-5.0568,753915896.6,67.3514
2013-11-20T00:00:00.000-05,AAPL,4.7261,4.442,162354845.7,63.3855
2013-11-21T00:00:00.000-05,AAPL,0.9227,0.878,136012378.5,69.325
2013-11-22T00:00:00.000-05,AAPL,2.238,2.4126,146959170.5,80.812
2013-11-23T00:00:00.000-05,AAPL,14.66,14.66,327088903.6,79.44
2013-11-24T00:00:00.000-05,AAPL,22.0533,21.7,117619533.6,82.68
2013-11-25T00:00:00.000-05,AAPL,31.9457,31.5213,129063477.5,78.7152
2013-11-26T00:00:00.000-05,AAPL,25.846,26.7054,120136914.9,75.634
2013-11-27T00:00:00.000-05,AAPL,17.1552,17.3257,83078345.59,62.1177
2013-11-28T00:00:00.000-05,AAPL,10.9476,10.95,88755520.76,66.1095
2013-11-29T00:00:00.000-05,AAPL,8.085,7.5488,192327130.4,68.7925
2013-11-30T00:00:00.000-05,AAPL,-37.5182,-37.0136,44036895.36,85.3273
2013-12-01T00:00:00.000-05,AAPL,44.7,47.825,171719033.5,63.9
2013-12-02T00:00:00.000-05,AAPL,0.7872,3.2597,100577969.7,65.9333
2013-12-03T00:00:00.000-05,AAPL,18.8679,16.9053,20897253.36,72.0151
2013-12-04T00:00:00.000-05,AAPL,12.4348,15.3141,135393207.3,74.6522
2013-12-05T00:00:00.000-05,AAPL,6.1458,6.131,92023741.56,72.1492
2013-12-06T00:00:00.000-05,AAPL,8.8,9.2517,648691774.5,86.6276
2013-12-07T00:00:00.000-05,AAPL,19.7923,20.4792,386704822.5,66.3923
2013-12-08T00:00:00.000-05,AAPL,9.1364,4.6455,442483742.5,88.5909
2013-12-09T00:00:00.000-05,AAPL,3.9804,7.2974,262741180.1,73.2783
2013-12-10T00:00:00.000-05,AAPL,23.5043,23.6284,273807591.5,72.27
2013-12-11T00:00:00.000-05,AAPL,16.3538,16.5788,962109152.8,63.3092
2013-12-12T00:00:00.000-05,AAPL,10.1703,7.8432,128650000,69.2135
2013-12-13T00:00:00.000-05,AAPL,22.208,18.57,101878248.5,75.032
2013-12-14T00:00:00.000-05,AAPL,-7.9273,-8.0909,16484031.64,76.4545
2013-12-15T00:00:00.000-05,AAPL,44.0571,44.1429,254616369.9,67.9286
2013-12-16T00:00:00.000-05,AAPL,7.3969,6.1641,189428596.9,70.5938
2013-12-17T00:00:00.000-05,AAPL,15.4333,15.4182,395384833.8,77.3242
2013-12-18T00:00:00.000-05,AAPL,9.0114,9.1563,68348692.51,74.66
2013-12-19T00:00:00.000-05,AAPL,6.3238,6.7371,179923111,67.3286
2013-12-20T00:00:00.000-05,AAPL,-11.3759,-11.5976,856158823.1,69.5517
2013-12-21T00:00:00.000-05,AAPL,-3.6143,-3.8225,767419289.8,57.8393
2013-12-22T00:00:00.000-05,AAPL,18.95,18.4125,602386762.4,70.6625
2013-12-23T00:00:00.000-05,AAPL,15.145,15.4954,178032447.7,74.7125
2013-12-24T00:00:00.000-05,AAPL,32.5286,33.0721,139667774.1,66.8214
2013-12-25T00:00:00.000-05,AAPL,-5.5333,-5.475,230639836.6,72.2667
2013-12-26T00:00:00.000-05,AAPL,21.1034,20.3666,80180427,75.2414
2013-12-27T00:00:00.000-05,AAPL,-11.8258,-11.3097,28331795.13,74.3613
2013-12-28T00:00:00.000-05,AAPL,45.1417,45.2817,324029689.3,64.7333
2013-12-29T00:00:00.000-05,AAPL,12.3571,12.3,160938164.8,75.5857
2013-12-30T00:00:00.000-05,AAPL,13.84,12.561,97981634,78.7575
2013-12-31T00:00:00.000-05,AAPL,-5.6167,-9.4547,296758774.3,80.0111
2014-01-01T00:00:00.000-05,AAPL,-22.219,-22.0833,450648825.4,67.5952
2014-01-02T00:00:00.000-05,AAPL,4.3125,2.5552,93855147.96,74.8896
2014-01-03T00:00:00.000-05,AAPL,21.5976,21.8873,65443077.68,79.1146
2014-01-04T00:00:00.000-05,AAPL,-5.2,-5.4045,332755745.2,79.0455
2014-01-05T00:00:00.000-05,AAPL,27,27,339491989.3,69.8333
2014-01-06T00:00:00.000-05,AAPL,-9.8,-8.2217,111445382.2,77.2457
2014-01-07T00:00:00.000-05,AAPL,3.5571,3.231,165438778.8,73.0476
2014-01-08T00:00:00.000-05,AAPL,24.2393,24.4232,214633783.9,80.3893
2014-01-09T00:00:00.000-05,AAPL,18.6769,18.0188,730630221.6,71.8846
2014-01-10T00:00:00.000-05,AAPL,36.9971,37.1581,373045885.9,81.6868
2014-01-11T00:00:00.000-05,AAPL,22.44,24.25,222975982.5,76.1267
2014-01-12T00:00:00.000-05,AAPL,56.7481,56.3111,292055727.8,85.0222
2014-01-13T00:00:00.000-05,AAPL,15.402,13.643,441038751.9,81.312
2014-01-14T00:00:00.000-05,AAPL,3.5351,2.9703,197496255.4,77.4297
2014-01-15T00:00:00.000-05,AAPL,22.4754,23.4425,127926034.6,72.5295
2014-01-16T00:00:00.000-05,AAPL,1.9484,2.3568,182972294.9,72.4097
2014-01-17T00:00:00.000-05,AAPL,19.185,19.94,178661756.4,79.885
2014-01-18T00:00:00.000-05,AAPL,26.1929,25.5786,152434229.1,61.6429
2014-01-19T00:00:00.000-05,AAPL,22.125,34.9,1569830.5,76.35
2014-01-20T00:00:00.000-05,AAPL,32.0625,37.4056,216349094,69.7
2014-01-21T00:00:00.000-05,AAPL,-0.1979,-0.7472,63274332.02,82.3745
2014-01-22T00:00:00.000-05,AAPL,12.338,13.4472,114540172.9,71.548
2014-01-23T00:00:00.000-05,AAPL,-5.6156,-5.673,329192045.5,63.7026
2014-01-24T00:00:00.000-05,AAPL,14.0278,13.3815,401496766.3,77.8685
2014-01-25T00:00:00.000-05,AAPL,-22.7,-21.8833,96028452.39,66.4444
2014-01-26T00:00:00.000-05,AAPL,5.9913,6.1296,412964845.3,86.387
2014-01-27T00:00:00.000-05,AAPL,7.1831,7.4173,83633666.18,83.2347
2014-01-28T00:00:00.000-05,AAPL,1.3575,1.3614,94150540.07,81.8373
2014-01-29T00:00:00.000-05,AAPL,1.2453,0.6363,859011308.5,79.1085
2014-01-30T00:00:00.000-05,AAPL,16.7803,17.2949,198306688.1,77.2033
